1p.prs	1p.pst	3p.prs	3p.pst
grade	graded	grades	graded
yammer	yammered	yammers	yammered
yank	yanked	yanks	yanked
graduate	graduated	graduates	graduated
yap	yapped	yaps	yapped
graft	grafted	grafts	grafted
yarn	yarned	yarns	yarned
yaw	yawed	yaws	yawed
yawn	yawned	yawns	yawned
yearn	yearned	yearns	yearned
yell	yelled	yells	yelled
yellow	yellowed	yellows	yellowed
yelp	yelped	yelps	yelped
yen	yenned	yens	yenned
grant	granted	grants	granted
granulate	granulated	granulates	granulated
graph	graphed	graphs	graphed
yield	yielded	yields	yielded
grapple	grappled	grapples	grappled
yodel	yodelled	yodels	yodelled
grasp	grasped	grasps	grasped
grass	grassed	grasses	grassed
yoke	yoked	yokes	yoked
grate	grated	grates	grated
gratify	gratified	gratifies	gratified
gravel	gravelled	gravels	gravelled
yowl	yowled	yowls	yowled
graze	grazed	grazes	grazed
grease	greased	greases	greased
zap	zapped	zaps	zapped
zigzag	zigzagged	zigzags	zigzagged
zip	zipped	zips	zipped
greet	greeted	greets	greeted
zone	zoned	zones	zoned
zoom	zoomed	zooms	zoomed
grey	greyed	greys	greyed
grieve	grieved	grieves	grieved
grill	grilled	grills	grilled
grimace	grimaced	grimaces	grimaced
grime	grimed	grimes	grimed
grin	grinned	grins	grinned
grind	ground	grinds	ground
grip	gripped	grips	gripped
gripe	griped	gripes	griped
grizzle	grizzled	grizzles	grizzled
groan	groaned	groans	groaned
groin	groined	groins	groined
groom	groomed	grooms	groomed
groove	grooved	grooves	grooved
grope	groped	gropes	groped
gross	grossed	grosses	grossed
grouch	grouched	grouches	grouched
ground	grounded	grounds	grounded
group	grouped	groups	grouped
grouse	groused	grouses	groused
grovel	grovelled	grovels	grovelled
grow	grew	grows	grew
growl	growled	growls	growled
grub	grubbed	grubs	grubbed
grudge	grudged	grudges	grudged
grumble	grumbled	grumbles	grumbled
grunt	grunted	grunts	grunted
guarantee	guaranteed	guarantees	guaranteed
guard	guarded	guards	guarded
guess	guessed	guesses	guessed
guest	guested	guests	guested
guffaw	guffawed	guffaws	guffawed
guide	guided	guides	guided
guillotine	guillotined	guillotines	guillotined
gull	gulled	gulls	gulled
gulp	gulped	gulps	gulped
gum	gummed	gums	gummed
gurgle	gurgled	gurgles	gurgled
gush	gushed	gushes	gushed
gut	gutted	guts	gutted
gutter	guttered	gutters	guttered
guy	guyed	guys	guyed
guzzle	guzzled	guzzles	guzzled
gybe	gybed	gybes	gybed
gyp	gypped	gyps	gypped
gyrate	gyrated	gyrates	gyrated
habilitate	habilitated	habilitates	habilitated
habit	habited	habits	habited
habituate	habituated	habituates	habituated
hack	hacked	hacks	hacked
haggle	haggled	haggles	haggled
hail	hailed	hails	hailed
hail	hailed	hails	hailed
hallmark	hallmarked	hallmarks	hallmarked
halloo	hallooed	halloos	hallooed
hallow	hallowed	hallows	hallowed
hallucinate	hallucinated	hallucinates	hallucinated
halt	halted	halts	halted
halve	halved	halves	halved
ham	hammed	hams	hammed
hammer	hammered	hammers	hammered
hamper	hampered	hampers	hampered
hamstring	hamstrung	hamstrings	hamstrung
hand	handed	hands	handed
handcuff	handcuffed	handcuffs	handcuffed
handicap	handicapped	handicaps	handicapped
handle	handled	handles	handled
handpick	handpicked	handpicks	handpicked
hang	hung	hangs	hung
hang	hanged	hangs	hanged
happen	happened	happens	happened
harangue	harangued	harangues	harangued
harass	harassed	harasses	harassed
harbour	harboured	harbours	harboured
harden	hardened	hardens	hardened
hare	hared	hares	hared
hark	harked	harks	harked
harm	harmed	harms	harmed
harmonize	harmonized	harmonizes	harmonized
harness	harnessed	harnesses	harnessed
harpoon	harpooned	harpoons	harpooned
harrow	harrowed	harrows	harrowed
harry	harried	harries	harried
harvest	harvested	harvests	harvested
hash	hashed	hashes	hashed
hassle	hassled	hassles	hassled
hasten	hastened	hastens	hastened
hatch	hatched	hatches	hatched
hate	hated	hates	hated
haul	hauled	hauls	hauled
haunt	haunted	haunts	haunted
have	had	has	had
haver	havered	havers	havered
haw	hawed	haws	hawed
hawk	hawked	hawks	hawked
hazard	hazarded	hazards	hazarded
haze	hazed	hazes	hazed
haze	hazed	hazes	hazed
head	headed	heads	headed
headline	headlined	headlines	headlined
heal	healed	heals	healed
heap	heaped	heaps	heaped
hear	heard	hears	heard
hearken	hearkened	hearkens	hearkened
hearten	heartened	heartens	heartened
heat	heated	heats	heated
heave	heaved	heaves	heaved
heave	hove	heaves	hove
heckle	heckled	heckles	heckled
hector	hectored	hectors	hectored
hedge	hedged	hedges	hedged
hedgehop	hedgehopped	hedgehops	hedgehopped
heed	heeded	heeds	heeded
heel	heeled	heels	heeled
heighten	heightened	heightens	heightened
heliograph	heliographed	heliographs	heliographed
help	helped	helps	helped
hem	hemmed	hems	hemmed
hem	hemmed	hems	hemmed
hemstitch	hemstitched	hemstitches	hemstitched
herald	heralded	heralds	heralded
herd	herded	herds	herded
hesitate	hesitated	hesitates	hesitated
hew	hewed	hews	hewed
hex	hexed	hexes	hexed
